A  -  10584 ocorrências
ACCOMPLISHMENT  -  2 ocorrências
ACCOMPLISHMENTS  -  1 ocorrências
ACCORD  -  24 ocorrências
ACCORDANCE  -  7 ocorrências
ACCORDED  -  1 ocorrências
ACCORDING  -  70 ocorrências
ACCORDINGLY  -  4 ocorrências
ACCOUCHEUR  -  1 ocorrências
ACCOUNT  -  69 ocorrências
ACCOUNTANT  -  9 ocorrências
ACCOUNTED  -  2 ocorrências
ACCOUNTS  -  22 ocorrências
ACCOUTERMENTS  -  1 ocorrências
ACCRUE  -  1 ocorrências
ACCUMULATED  -  1 ocorrências
ACCURACY  -  5 ocorrências
ACCURATE  -  2 ocorrências
ACCURATELY  -  5 ocorrências
ACCUSATIONS  -  2 ocorrências
ACCUSE  -  2 ocorrências
ACCUSED  -  11 ocorrências
ACCUSERS  -  1 ocorrências
ACCUSES  -  2 ocorrências
ACCUSING  -  1 ocorrências
ACCUSTOM  -  3 ocorrências
ACCUSTOMED  -  43 ocorrências
ACE  -  1 ocorrências
ACHE  -  3 ocorrências
ACHES  -  3 ocorrências
ACHIEVE  -  4 ocorrências
ACHIEVED  -  4 ocorrências
ACHIEVEMENT  -  6 ocorrências
ACHIEVEMENTS  -  1 ocorrências
ACHILLES  -  6 ocorrências
ACHING  -  4 ocorrências
ACHTUNG  -  1 ocorrências
ACID  -  1 ocorrências
ACKNOWLEDGE  -  6 ocorrências
ACKNOWLEDGED  -  6 ocorrências
ACKNOWLEDGING  -  6 ocorrências
ACKNOWLEDGMENT  -  2 ocorrências
ACME  -  2 ocorrências
ACQUAINTANCE  -  39 ocorrências
ACQUAINTANCES  -  39 ocorrências
ACQUAINTED  -  18 ocorrências
ACQUIRE  -  2 ocorrências
ACQUIRED  -  12 ocorrências
ACQUIRING  -  2 ocorrências
ACQUITTED  -  1 ocorrências
ACRE  -  1 ocorrências
ACRES  -  3 ocorrências
ACRID  -  1 ocorrências
ACROSS  -  116 ocorrências
ACT  -  64 ocorrências
ACTE  -  2 ocorrências
ACTED  -  23 ocorrências
ACTING  -  16 ocorrências
ACTION  -  195 ocorrências
ACTIONS  -  71 ocorrências
ACTIVE  -  24 ocorrências
ACTIVELY  -  2 ocorrências
ACTIVITIES  -  12 ocorrências
ACTIVITY  -  109 ocorrências
ACTOR  -  4 ocorrências
ACTORS  -  3 ocorrências
ACTRESS  -  4 ocorrências
ACTRESSES  -  3 ocorrências
ACTS  -  9 ocorrências
ACTUAL  -  16 ocorrências
ACTUALLY  -  13 ocorrências
ACTUATED  -  2 ocorrências
ACUTE  -  7 ocorrências
ACUTELY  -  3 ocorrências
AD  -  1 ocorrências
ADAM  -  3 ocorrências
ADAPT  -  1 ocorrências
ADAPTATIONS  -  1 ocorrências
ADAPTED  -  2 ocorrências
ADAPTING  -  2 ocorrências
ADD  -  8 ocorrências
ADDED  -  210 ocorrências
ADDICTED  -  1 ocorrências
ADDING  -  10 ocorrências
ADDITION  -  5 ocorrências
ADDITIONAL  -  7 ocorrências
ADDITIONS  -  2 ocorrências
ADDRESS  -  30 ocorrências
ADDRESSED  -  61 ocorrências
ADDRESSES  -  1 ocorrências
ADDRESSING  -  70 ocorrências
ADDUCING  -  1 ocorrências
ADE  -  1 ocorrências
ADEPT  -  2 ocorrências
ADEQUATELY  -  1 ocorrências
ADHERE  -  1 ocorrências
ADHERED  -  1 ocorrências
ADHERENTS  -  4 ocorrências
ADHESION  -  1 ocorrências
ADIEU  -  5 ocorrências
ADJACENT  -  3 ocorrências
ADJOINING  -  11 ocorrências
ADJUST  -  1 ocorrências
ADJUSTED  -  9 ocorrências
ADJUSTING  -  4 ocorrências
ADJUTANT  -  166 ocorrências
ADJUTANTS  -  38 ocorrências
ADMINISTER  -  2 ocorrências
ADMINISTERED  -  4 ocorrências
ADMINISTRATION  -  4 ocorrências
ADMINISTRATIVE  -  6 ocorrências
ADMINISTRATOR  -  4 ocorrências
ADMINISTRATORS  -  1 ocorrências
ADMIRABLE  -  10 ocorrências
ADMIRABLY  -  2 ocorrências
ADMIRAL  -  1 ocorrências
ADMIRATION  -  10 ocorrências
ADMIRE  -  3 ocorrências
ADMIRED  -  12 ocorrências
ADMIRER  -  2 ocorrências
ADMIRES  -  1 ocorrências
ADMIRING  -  5 ocorrências
ADMIRINGLY  -  1 ocorrências
ADMISSION  -  3 ocorrências
ADMIT  -  44 ocorrências
ADMITS  -  3 ocorrências
ADMITTED  -  27 ocorrências
ADMITTING  -  16 ocorrências
ADMONISH  -  2 ocorrências
ADMONISHING  -  1 ocorrências
ADMONISHINGLY  -  1 ocorrências
ADMONITORY  -  1 ocorrências
ADONAI  -  1 ocorrências
ADOPT  -  7 ocorrências
ADOPTED  -  16 ocorrências
ADOPTING  -  3 ocorrências
ADORABLE  -  2 ocorrências
ADORATION  -  4 ocorrências
ADORE  -  3 ocorrências
ADORED  -  15 ocorrências
ADORER  -  4 ocorrências
ADORERS  -  1 ocorrências
ADORES  -  1 ocorrências
ADORING  -  2 ocorrências
ADORN  -  2 ocorrências
ADORNING  -  1 ocorrências
ADORNMENT  -  1 ocorrências
ADR  -  4 ocorrências
ADROIT  -  5 ocorrências
ADROITLY  -  2 ocorrências
ADROITNESS  -  3 ocorrências
ADULATION  -  2 ocorrências
ADVANCE  -  64 ocorrências
ADVANCED  -  56 ocorrências
ADVANCES  -  2 ocorrências
ADVANCING  -  27 ocorrências
ADVANTAGE  -  30 ocorrências
ADVANTAGEOUS  -  14 ocorrências
ADVANTAGEOUSLY  -  3 ocorrências
ADVANTAGES  -  14 ocorrências
ADVE  -  1 ocorrências
ADVENT  -  1 ocorrências
ADVENTURE  -  2 ocorrências
ADVENTURES  -  6 ocorrências
ADVERSARY  -  2 ocorrências
ADVICE  -  31 ocorrências
ADVISABLE  -  1 ocorrências
ADVISE  -  8 ocorrências
ADVISED  -  22 ocorrências
ADVISER  -  1 ocorrências
ADVISERS  -  9 ocorrências
ADVISING  -  3 ocorrências
ADVOCATED  -  1 ocorrências
ADVOCATES  -  3 ocorrências
ADVOCATING  -  1 ocorrências
AERIAL  -  1 ocorrências
AFAR  -  2 ocorrências
AFFABILITY  -  1 ocorrências
AFFABLE  -  2 ocorrências
AFFABLY  -  1 ocorrências
AFFAIR  -  76 ocorrências
AFFAIRES  -  2 ocorrências
AFFAIRS  -  120 ocorrências
AFFECT  -  6 ocorrências
AFFECTATION  -  11 ocorrências
AFFECTED  -  19 ocorrências
AFFECTING  -  3 ocorrências
AFFECTION  -  18 ocorrências
AFFECTIONATE  -  20 ocorrências
AFFECTIONATELY  -  9 ocorrências
AFFETTO  -  2 ocorrências
AFFIANCED  -  6 ocorrências
AFFINITY  -  3 ocorrências
AFFIRM  -  1 ocorrências
AFFIRMATIVE  -  2 ocorrências
AFFIRMATIVELY  -  4 ocorrências
AFFIRMING  -  1 ocorrências
AFFLICTED  -  1 ocorrências
AFFORD  -  1 ocorrências
AFFORDED  -  5 ocorrências
AFFORDING  -  3 ocorrências
AFFORDS  -  2 ocorrências
AFFRIGHT  -  1 ocorrências
AFFRONTED  -  1 ocorrências
AFFRONTS  -  1 ocorrências
AFLAME  -  1 ocorrências
AFLOAT  -  1 ocorrências
AFRAID  -  148 ocorrências
AFRESH  -  8 ocorrências
AFRICA  -  8 ocorrências
AFRICANS  -  1 ocorrências
AFTER  -  841 ocorrências
AFTERGLOW  -  1 ocorrências
AFTERLIFE  -  1 ocorrências
AFTERNOON  -  14 ocorrências
AFTERWARD  -  1 ocorrências
AFTERWARDS  -  43 ocorrências
AFWAID  -  1 ocorrências
AGAIN  -  709 ocorrências
AGAINST  -  224 ocorrências
AGATE  -  2 ocorrências
AGE  -  44 ocorrências
AGED  -  18 ocorrências
AGENCIES  -  1 ocorrências
AGENT  -  2 ocorrências
AGENTS  -  1 ocorrências
AGES  -  7 ocorrências
AGGRANDIZEMENT  -  4 ocorrências
AGGRESSION  -  2 ocorrências
AGGRESSIVE  -  1 ocorrências
AGGRESSOR  -  1 ocorrências
AGGRIEVED  -  1 ocorrências
AGHAST  -  3 ocorrências
AGILE  -  3 ocorrências
AGILITY  -  7 ocorrências
AGITATED  -  49 ocorrências
AGITATING  -  6 ocorrências
AGITATION  -  41 ocorrências
AGLOW  -  3 ocorrências
AGO  -  74 ocorrências
AGONIZED  -  1 ocorrências
AGONIZING  -  2 ocorrências
AGONIZINGLY  -  1 ocorrências
AGONY  -  4 ocorrências
AGR  -  1 ocorrências
AGRAF  -  6 ocorrências
AGREE  -  49 ocorrências
AGREEABLE  -  27 ocorrências
AGREEABLY  -  4 ocorrências
AGREED  -  33 ocorrências
AGREEING  -  1 ocorrências
AGREEMENT  -  25 ocorrências
AGRICULTURAL  -  1 ocorrências
AGRICULTURE  -  4 ocorrências
AGRICULTURISTS  -  1 ocorrências
AGUE  -  1 ocorrências
AGWEE  -  1 ocorrências
AH  -  188 ocorrências
AHAHAH  -  1 ocorrências
AHEAD  -  37 ocorrências
AI  -  3 ocorrências
AID  -  20 ocorrências
AIDE  -  48 ocorrências
AIDED  -  1 ocorrências
AIDES  -  16 ocorrências
AILING  -  1 ocorrências
AIM  -  101 ocorrências
AIME  -  5 ocorrências
AIMED  -  8 ocorrências
AIMING  -  6 ocorrências
AIMLESS  -  4 ocorrências
AIMLESSLY  -  2 ocorrências
AIMS  -  21 ocorrências
AIR  -  135 ocorrências
AIRINESS  -  1 ocorrências
AIRS  -  2 ocorrências
AIRY  -  2 ocorrências
AIS  -  2 ocorrências
AISE  -  1 ocorrências
AK  -  2 ocorrências
AKH  -  1 ocorrências
AKHROS  -  3 ocorrências
AKIMBO  -  4 ocorrências
AKIN  -  6 ocorrências
AL  -  3 ocorrências
ALARM  -  31 ocorrências
ALARMED  -  13 ocorrências
ALARMING  -  2 ocorrências
ALARMS  -  1 ocorrências
ALBANIANS  -  1 ocorrências
ALBUM  -  4 ocorrências
ALBUMS  -  4 ocorrências
ALCOHOL  -  1 ocorrências
ALDERS  -  1 ocorrências
ALERT  -  8 ocorrências
ALERTLY  -  1 ocorrências
ALERTNESS  -  1 ocorrências
ALEX  -  44 ocorrências
ALEXANDER  -  139 ocorrências
ALEXANDERS  -  2 ocorrências
ALEXANDRE  -  3 ocorrências
ALGEBRA  -  1 ocorrências
ALIEN  -  11 ocorrências
ALIENATED  -  1 ocorrências
ALIENATING  -  1 ocorrências
ALIGHT  -  3 ocorrências
ALIGHTED  -  2 ocorrências
ALIGHTING  -  2 ocorrências
ALIGNING  -  1 ocorrências
ALIKE  -  21 ocorrências
ALIMENT  -  1 ocorrências
ALIMONY  -  1 ocorrências
ALINE  -  2 ocorrências
ALIVE  -  48 ocorrências
ALL  -  2813 ocorrências
ALLAIT  -  1 ocorrências
ALLAY  -  2 ocorrências
ALLEGED  -  5 ocorrências
ALLEGIANCE  -  2 ocorrências
ALLEGORIES  -  1 ocorrências
ALLEGORY  -  1 ocorrências
ALLEY  -  2 ocorrências
ALLEYS  -  2 ocorrências
ALLEZ  -  1 ocorrências
ALLI  -  2 ocorrências
ALLIANCE  -  18 ocorrências
ALLIANCES  -  3 ocorrências
ALLIED  -  3 ocorrências
ALLIES  -  13 ocorrências
ALLONS  -  1 ocorrências
ALLOPATHS  -  1 ocorrências
ALLOT  -  1 ocorrências
ALLOTTED  -  4 ocorrências
ALLOW  -  57 ocorrências
ALLOWANCE  -  4 ocorrências
ALLOWED  -  41 ocorrências
ALLOWING  -  6 ocorrências
ALLOWS  -  4 ocorrências
ALLUDE  -  1 ocorrências
ALLUDED  -  5 ocorrências
ALLUDING  -  7 ocorrências
ALLURED  -  1 ocorrências
ALLUREMENT  -  1 ocorrências
ALLUREMENTS  -  1 ocorrências
ALLURINGLY  -  1 ocorrências
ALLUSION  -  2 ocorrências
ALLUSIONS  -  4 ocorrências
ALLY  -  6 ocorrências
ALMIGHTY  -  7 ocorrências
ALMOND  -  1 ocorrências
ALMONDS  -  1 ocorrências
ALMOST  -  156 ocorrências
ALMS  -  4 ocorrências
ALMSHOUSE  -  1 ocorrências
ALMSHOUSES  -  1 ocorrências
ALOFT  -  1 ocorrências
ALONE  -  243 ocorrências
ALONG  -  227 ocorrências
ALONGSIDE  -  1 ocorrências
ALOOF  -  4 ocorrências
ALOOFNESS  -  2 ocorrências
ALOUD  -  24 ocorrências
ALP  -  137 ocorrências
ALPHABET  -  2 ocorrências
ALPHONSE  -  1 ocorrências
ALREADY  -  326 ocorrências
ALSATIAN  -  2 ocorrências
ALSO  -  270 ocorrências
ALTAR  -  6 ocorrências
ALTARS  -  1 ocorrências
ALTE  -  1 ocorrências
ALTER  -  8 ocorrências
ALTERATION  -  1 ocorrências
ALTERATIONS  -  1 ocorrências
ALTERCATION  -  1 ocorrências
ALTERED  -  20 ocorrências
ALTERING  -  3 ocorrências
ALTERNATE  -  3 ocorrências
ALTERNATED  -  1 ocorrências
ALTERNATELY  -  3 ocorrências
ALTERNATING  -  1 ocorrências
ALTERNATIVE  -  1 ocorrências
ALTHOUGH  -  11 ocorrências
ALTOGETHER  -  13 ocorrências
ALWAYS  -  464 ocorrências
AM  -  554 ocorrências
AMALEK  -  2 ocorrências
AMANT  -  1 ocorrências
AMANTS  -  1 ocorrências
AMAZED  -  16 ocorrências
AMAZEMENT  -  9 ocorrências
AMAZING  -  4 ocorrências
AMAZINGLY  -  1 ocorrências
AMAZON  -  1 ocorrências
AMBASSADOR  -  16 ocorrências
AMBASSADORS  -  3 ocorrências
AMBER  -  1 ocorrências
AMBITION  -  6 ocorrências
AMBITIOUS  -  2 ocorrências
AMBLE  -  1 ocorrências
AMBLED  -  1 ocorrências
AMBLER  -  1 ocorrências
AMBLING  -  1 ocorrências
AMBULANCE  -  5 ocorrências
AMBUSCADE  -  1 ocorrências
AMBUSH  -  6 ocorrências
AMELIE  -  1 ocorrências
AMEN  -  1 ocorrências
AMENITIES  -  1 ocorrências
AMERICA  -  1 ocorrências
AMI  -  3 ocorrências
AMIABILITIES  -  2 ocorrências
AMIABILITY  -  3 ocorrências
AMIABLE  -  14 ocorrências
AMIABLY  -  8 ocorrências
AMICABLE  -  1 ocorrências
AMID  -  58 ocorrências
AMIDST  -  1 ocorrências
AMIE  -  2 ocorrências
AMISS  -  3 ocorrências
AMMUNITION  -  14 ocorrências
AMONG  -  216 ocorrências
AMONGST  -  1 ocorrências
AMOROUS  -  3 ocorrências
AMOUNT  -  6 ocorrências
AMOUNTED  -  4 ocorrências
AMOUR  -  2 ocorrências
AMOUREUSE  -  1 ocorrências
AMPHILOCHUS  -  1 ocorrências
AMPHITHEATER  -  2 ocorrências
AMPLE  -  2 ocorrências
AMPUTATED  -  3 ocorrências
AMSTETTEN  -  1 ocorrências
AMULET  -  1 ocorrências
AMUSE  -  9 ocorrências
AMUSED  -  24 ocorrências
AMUSEMENT  -  7 ocorrências
AMUSEMENTS  -  3 ocorrências
AMUSES  -  2 ocorrências
AMUSING  -  21 ocorrências
AMUSINGLY  -  1 ocorrências
AN  -  1654 ocorrências
ANALOGY  -  1 ocorrências
ANALYSIS  -  3 ocorrências
ANALYZE  -  3 ocorrências
ANALYZING  -  2 ocorrências
ANARCHY  -  1 ocorrências
ANATHEMATIZED  -  1 ocorrências
ANATOLE  -  222 ocorrências
ANCESTOR  -  1 ocorrências
ANCESTORS  -  4 ocorrências
ANCESTRAL  -  1 ocorrências
ANCIENT  -  21 ocorrências
ANCIENTS  -  16 ocorrências
AND  -  22307 ocorrências
ANDR  -  16 ocorrências
ANDREW  -  1143 ocorrências
ANDWEW  -  1 ocorrências
ANECDOTE  -  4 ocorrências
ANECDOTES  -  5 ocorrências
ANEW  -  3 ocorrências
ANF  -  2 ocorrências
ANGEL  -  19 ocorrências
ANGELIC  -  2 ocorrências
ANGELICALLY  -  1 ocorrências
ANGELS  -  3 ocorrências
ANGER  -  40 ocorrências
ANGERED  -  4 ocorrências
ANGINA  -  5 ocorrências
ANGLAISE  -  3 ocorrências
ANGLE  -  9 ocorrências
ANGLES  -  1 ocorrências
ANGLETERRE  -  1 ocorrências
ANGLING  -  2 ocorrências
ANGRIER  -  3 ocorrências
ANGRILY  -  79 ocorrências
ANGRY  -  109 ocorrências
ANGUISH  -  1 ocorrências
ANIMAL  -  34 ocorrências
ANIMALS  -  17 ocorrências
ANIMATE  -  1 ocorrências
ANIMATED  -  63 ocorrências
ANIMATEDLY  -  1 ocorrências
ANIMATING  -  1 ocorrências
ANIMATION  -  29 ocorrências
ANIMOSITY  -  3 ocorrências
ANKLE  -  1 ocorrências
ANKLES  -  1 ocorrências
ANNA  -  293 ocorrências
ANNALS  -  1 ocorrências
ANNE  -  1 ocorrências
ANNETTE  -  12 ocorrências
ANNEX  -  1 ocorrências
ANNIHILATE  -  3 ocorrências
ANNIHILATED  -  1 ocorrências
ANNIHILATING  -  1 ocorrências
ANNIVERSARY  -  1 ocorrências
ANNOUNCE  -  12 ocorrências
ANNOUNCED  -  32 ocorrências
ANNOUNCEMENT  -  6 ocorrências
ANNOUNCEMENTS  -  2 ocorrências
ANNOUNCES  -  1 ocorrências
ANNOUNCING  -  6 ocorrências
ANNOYANCE  -  12 ocorrências
ANNOYED  -  6 ocorrências
ANNOYING  -  1 ocorrências
ANOINTED  -  1 ocorrências
ANONYMOUS  -  4 ocorrências
ANOTHER  -  620 ocorrências
ANSICHT  -  1 ocorrências
ANSWER  -  143 ocorrências
ANSWERED  -  153 ocorrências
ANSWERING  -  30 ocorrências
ANSWERS  -  17 ocorrências
ANT  -  9 ocorrências
ANTAGONISM  -  1 ocorrências
ANTAGONIST  -  1 ocorrências
ANTAGONISTIC  -  1 ocorrências
ANTAGONISTS  -  2 ocorrências
ANTECEDENTS  -  1 ocorrências
ANTECHAMBER  -  5 ocorrências
ANTECHAMBERS  -  1 ocorrências
ANTEROOM  -  35 ocorrências
ANTEROOMS  -  1 ocorrências
ANTI  -  1 ocorrências
ANTICHRIST  -  5 ocorrências
ANTICIPATE  -  2 ocorrências
ANTICIPATED  -  5 ocorrências
ANTICIPATING  -  1 ocorrências
ANTICIPATION  -  3 ocorrências
ANTIDOTES  -  1 ocorrências
ANTINATIONAL  -  1 ocorrências
ANTIPATHETIC  -  1 ocorrências
ANTIPATHIES  -  1 ocorrências
ANTIPATHY  -  7 ocorrências
ANTIQUE  -  4 ocorrências
ANTIQUITY  -  1 ocorrências
ANTS  -  5 ocorrências
ANXIETIES  -  1 ocorrências
ANXIETY  -  24 ocorrências
ANXIOUS  -  39 ocorrências
ANXIOUSLY  -  13 ocorrências
ANY  -  500 ocorrências
ANYBODY  -  16 ocorrências
ANYHOW  -  8 ocorrências
ANYONE  -  196 ocorrências
ANYTHING  -  294 ocorrências
ANYWAY  -  4 ocorrências
ANYWHERE  -  26 ocorrências
APART  -  53 ocorrências
APARTMENT  -  5 ocorrências
APARTMENTS  -  13 ocorrências
APATHETIC  -  1 ocorrências
APATHY  -  2 ocorrências
APE  -  2 ocorrências
APES  -  2 ocorrências
APEX  -  1 ocorrências
APOCALYPSE  -  4 ocorrências
APOLL  -  1 ocorrências
APOLOGETICALLY  -  2 ocorrências
APOLOGIES  -  1 ocorrências
APOLOGIZE  -  10 ocorrências
APOLOGIZING  -  2 ocorrências
APOLOGY  -  1 ocorrências
APOPLECTIC  -  1 ocorrências
APPALLED  -  3 ocorrências
APPARENT  -  14 ocorrências
APPARENTLY  -  41 ocorrências
APPARITION  -  2 ocorrências
APPEAL  -  15 ocorrências
APPEALED  -  3 ocorrências
APPEALING  -  1 ocorrências
APPEALS  -  1 ocorrências
APPEAR  -  53 ocorrências
APPEARANCE  -  40 ocorrências
APPEARED  -  123 ocorrências
APPEARING  -  13 ocorrências
APPEARS  -  24 ocorrências
APPEASE  -  2 ocorrências
APPEASED  -  2 ocorrências
APPELLATION  -  2 ocorrências
APPELLATIONS  -  1 ocorrências
APPETIZING  -  2 ocorrências
APPLAUDING  -  1 ocorrências
APPLAUSE  -  2 ocorrências
APPLE  -  8 ocorrências
APPLES  -  2 ocorrências
APPLICABLE  -  5 ocorrências
APPLICATION  -  8 ocorrências
APPLICATIONS  -  1 ocorrências
APPLIED  -  10 ocorrências
APPLIES  -  1 ocorrências
APPLY  -  9 ocorrências
APPLYING  -  6 ocorrências
APPOINT  -  1 ocorrências
APPOINTED  -  51 ocorrências
APPOINTMENT  -  18 ocorrências
APPOINTMENTS  -  5 ocorrências
APPORTIONED  -  2 ocorrências
APPOSITELY  -  1 ocorrências
APPOSITENESS  -  1 ocorrências
APPRAISED  -  1 ocorrências
APPRAISING  -  1 ocorrências
APPRECIATE  -  6 ocorrências
APPRECIATED  -  13 ocorrências
APPRECIATING  -  1 ocorrências
APPRECIATION  -  3 ocorrências
APPRECIATIVE  -  1 ocorrências
APPREHEND  -  1 ocorrências
APPREHENDED  -  1 ocorrências
APPREHENSION  -  3 ocorrências
APPREHENSIVE  -  2 ocorrências
APPRENTICESHIP  -  2 ocorrências
APPROACH  -  28 ocorrências
APPROACHED  -  70 ocorrências
APPROACHES  -  3 ocorrências
APPROACHING  -  59 ocorrências
APPROBATION  -  2 ocorrências
APPROPRIATE  -  4 ocorrências
APPROPRIATED  -  2 ocorrências
APPROPRIATELY  -  1 ocorrências
APPROVAL  -  24 ocorrências
APPROVE  -  10 ocorrências
APPROVED  -  12 ocorrências
APPROVING  -  3 ocorrências
APPROVINGLY  -  6 ocorrências
APPROXIMATE  -  2 ocorrências
APPROXIMATELY  -  3 ocorrências
APPROXIMATION  -  2 ocorrências
APPWOVE  -  1 ocorrências
APR  -  8 ocorrências
APRIL  -  4 ocorrências
APRON  -  11 ocorrências
APRONS  -  2 ocorrências
APROPOS  -  1 ocorrências
APT  -  5 ocorrências
APTITUDE  -  3 ocorrências
AQUAINTANCES  -  1 ocorrências
AR  -  3 ocorrências
ARAB  -  4 ocorrências
ARAKCH  -  43 ocorrências
ARB  -  8 ocorrências
ARBITER  -  1 ocorrências
ARBITERS  -  1 ocorrências
ARBITRARILY  -  5 ocorrências
ARBITRARINESS  -  1 ocorrências
ARBITRARY  -  6 ocorrências
ARC  -  2 ocorrências
ARCADE  -  1 ocorrências
ARCH  -  3 ocorrências
ARCHDUCHESS  -  2 ocorrências
ARCHDUCHY  -  1 ocorrências
ARCHDUKE  -  14 ocorrências
ARCHED  -  4 ocorrências
ARCHING  -  3 ocorrências
ARCHITECT  -  17 ocorrências
ARCHITECTURE  -  1 ocorrências
ARCHIVE  -  13 ocorrências
ARCHIVES  -  1 ocorrências
ARCHWAY  -  1 ocorrências
ARCOLA  -  3 ocorrências
ARDENT  -  3 ocorrências
ARDENTLY  -  1 ocorrências
ARDOR  -  5 ocorrências
ARDUOUS  -  1 ocorrências
ARDUOUSLY  -  1 ocorrências
ARE  -  1290 ocorrências
AREA  -  1 ocorrências
AREN  -  18 ocorrências
ARGUE  -  4 ocorrências
ARGUED  -  6 ocorrências
ARGUING  -  8 ocorrências
ARGUMENT  -  13 ocorrências
ARGUMENTATIVE  -  1 ocorrências
ARGUMENTATIVELY  -  1 ocorrências
ARGUMENTS  -  22 ocorrências
ARISE  -  9 ocorrências
ARISEN  -  3 ocorrências
ARISES  -  7 ocorrências
ARISING  -  4 ocorrências
ARIST  -  2 ocorrências
ARISTOCRACY  -  3 ocorrências
ARISTOCRATIC  -  3 ocorrências
ARITHMETIC  -  1 ocorrências
ARKH  -  4 ocorrências
ARM  -  180 ocorrências
ARMCHAIR  -  32 ocorrências
ARMCHAIRS  -  2 ocorrências
ARMED  -  19 ocorrências
ARMENIAN  -  6 ocorrências
ARMENIANS  -  1 ocorrências
ARMFELDT  -  12 ocorrências
ARMFELDTS  -  1 ocorrências
ARMIES  -  44 ocorrências
ARMING  -  1 ocorrências
ARMISTICE  -  4 ocorrências
ARMPITS  -  3 ocorrências
ARMS  -  176 ocorrências
ARMY  -  665 ocorrências
ARNAUTS  -  2 ocorrências
AROMA  -  1 ocorrências
AROMATIC  -  2 ocorrências
AROSE  -  21 ocorrências
AROUND  -  173 ocorrências
AROUSE  -  10 ocorrências
AROUSED  -  30 ocorrências
AROUSES  -  1 ocorrências
AROUSING  -  6 ocorrências
