A  -  1449 ocorrências
AGREEMENT  -  18 ocorrências
AGRIPPA  -  8 ocorrências
AH  -  7 ocorrências
AID  -  10 ocorrências
AIDED  -  2 ocorrências
AIGUILLES  -  1 ocorrências
AIM  -  2 ocorrências
AIMED  -  1 ocorrências
AIR  -  27 ocorrências
AIRS  -  3 ocorrências
AIRY  -  2 ocorrências
AK  -  1 ocorrências
AKIN  -  2 ocorrências
AL  -  2 ocorrências
ALARM  -  4 ocorrências
ALARMED  -  6 ocorrências
ALARMING  -  1 ocorrências
ALAS  -  20 ocorrências
ALBATROSS  -  1 ocorrências
ALBERTUS  -  3 ocorrências
ALCHEMISTS  -  2 ocorrências
ALIGHTED  -  2 ocorrências
ALIGHTING  -  1 ocorrências
ALIKE  -  3 ocorrências
ALIVE  -  9 ocorrências
ALL  -  218 ocorrências
ALLEGED  -  1 ocorrências
ALLEGING  -  2 ocorrências
ALLEVIATE  -  1 ocorrências
ALLEVIATED  -  1 ocorrências
ALLIED  -  1 ocorrências
ALLOTTED  -  1 ocorrências
ALLOW  -  14 ocorrências
ALLOWED  -  20 ocorrências
ALLOWING  -  1 ocorrências
ALLOY  -  1 ocorrências
ALLUDE  -  3 ocorrências
ALLUDED  -  1 ocorrências
ALLURED  -  2 ocorrências
ALLUREMENTS  -  1 ocorrências
ALLURING  -  1 ocorrências
ALLUSION  -  2 ocorrências
ALMIGHTY  -  1 ocorrências
ALMOST  -  40 ocorrências
ALONE  -  45 ocorrências
ALONG  -  13 ocorrências
ALOUD  -  6 ocorrências
ALPHONSE  -  1 ocorrências
ALPINE  -  2 ocorrências
ALPS  -  5 ocorrências
ALREADY  -  33 ocorrências
ALSO  -  68 ocorrências
ALTER  -  4 ocorrências
ALTERATION  -  6 ocorrências
ALTERATIONS  -  1 ocorrências
ALTERED  -  6 ocorrências
ALTERNATE  -  2 ocorrências
ALTHOUGH  -  53 ocorrências
ALTOGETHER  -  1 ocorrências
ALWAYS  -  24 ocorrências
AM  -  126 ocorrências
AMASSED  -  1 ocorrências
AMAZED  -  1 ocorrências
AMAZING  -  1 ocorrências
AMBITION  -  8 ocorrências
AMELIORATE  -  1 ocorrências
AMEND  -  1 ocorrências
AMERICA  -  3 ocorrências
AMERICAN  -  1 ocorrências
AMIABLE  -  14 ocorrências
AMID  -  1 ocorrências
AMIDST  -  8 ocorrências
AMONG  -  51 ocorrências
AMONGST  -  1 ocorrências
AMOUNTED  -  2 ocorrências
AMPHITHEATRE  -  1 ocorrências
AMPLE  -  2 ocorrências
AMUSE  -  2 ocorrências
AMUSED  -  1 ocorrências
AMUSEMENT  -  6 ocorrências
AMUSEMENTS  -  1 ocorrências
AN  -  215 ocorrências
ANALYSING  -  1 ocorrências
ANALYSIS  -  1 ocorrências
ANATOMISE  -  1 ocorrências
ANATOMY  -  1 ocorrências
ANCESTORS  -  1 ocorrências
ANCHOR  -  1 ocorrências
ANCIENT  -  10 ocorrências
AND  -  3046 ocorrências
ANDES  -  1 ocorrências
ANDREW  -  1 ocorrências
ANEW  -  3 ocorrências
ANGEL  -  9 ocorrências
ANGELIC  -  3 ocorrências
ANGELICA  -  1 ocorrências
ANGER  -  5 ocorrências
ANGRILY  -  1 ocorrências
ANGRY  -  2 ocorrências
ANGUISH  -  24 ocorrências
ANIMAL  -  9 ocorrências
ANIMALS  -  4 ocorrências
ANIMATE  -  2 ocorrências
ANIMATED  -  7 ocorrências
ANIMATING  -  1 ocorrências
ANIMATION  -  7 ocorrências
ANNIHILATION  -  3 ocorrências
ANNOUNCE  -  2 ocorrências
ANNOUNCED  -  1 ocorrências
ANNOYED  -  1 ocorrências
ANNOYING  -  1 ocorrências
ANON  -  1 ocorrências
ANOTHER  -  47 ocorrências
ANSWER  -  21 ocorrências
ANSWERED  -  7 ocorrências
ANSWERS  -  1 ocorrências
ANTELOPE  -  1 ocorrências
ANTICIPATED  -  1 ocorrências
ANTICIPATION  -  1 ocorrências
ANTICIPATIONS  -  1 ocorrências
ANTIPATHY  -  1 ocorrências
ANTIQUE  -  1 ocorrências
ANTIQUITY  -  1 ocorrências
ANXIETY  -  8 ocorrências
ANXIOUS  -  5 ocorrências
ANXIOUSLY  -  2 ocorrências
ANY  -  121 ocorrências
ANYONE  -  9 ocorrências
ANYTHING  -  8 ocorrências
ANYWHERE  -  2 ocorrências
APART  -  2 ocorrências
APARTMENT  -  9 ocorrências
APARTMENTS  -  1 ocorrências
APATHY  -  1 ocorrências
APOTHECARY  -  1 ocorrências
APPALLING  -  5 ocorrências
APPARATUS  -  3 ocorrências
APPAREL  -  2 ocorrências
APPARENT  -  5 ocorrências
APPARENTLY  -  10 ocorrências
APPARITION  -  5 ocorrências
APPEAL  -  1 ocorrências
APPEALS  -  1 ocorrências
APPEAR  -  23 ocorrências
APPEARANCE  -  30 ocorrências
APPEARANCES  -  4 ocorrências
APPEARED  -  57 ocorrências
APPEARING  -  2 ocorrências
APPEARS  -  8 ocorrências
APPEASED  -  1 ocorrências
APPERTAINING  -  2 ocorrências
APPETITE  -  4 ocorrências
APPLE  -  1 ocorrências
APPLICABLE  -  3 ocorrências
APPLICATION  -  7 ocorrências
APPLIED  -  5 ocorrências
APPLY  -  8 ocorrências
APPOINTMENT  -  1 ocorrências
APPRECIATE  -  1 ocorrências
APPREHENDED  -  1 ocorrências
APPREHENDING  -  1 ocorrências
APPREHENSION  -  4 ocorrências
APPREHENSIONS  -  2 ocorrências
APPROACH  -  11 ocorrências
APPROACHED  -  19 ocorrências
APPROACHING  -  3 ocorrências
APPROBATION  -  2 ocorrências
APPROPRIATED  -  1 ocorrências
APPROVE  -  2 ocorrências
APPROVED  -  1 ocorrências
APT  -  1 ocorrências
ARAB  -  1 ocorrências
ARABIAN  -  13 ocorrências
ARABIC  -  2 ocorrências
ARBITERS  -  1 ocorrências
ARCH  -  2 ocorrências
ARCHANGEL  -  5 ocorrências
ARCHIVE  -  13 ocorrências
ARDENT  -  10 ocorrências
ARDENTLY  -  10 ocorrências
ARDOUR  -  13 ocorrências
ARDUOUS  -  1 ocorrências
ARE  -  195 ocorrências
ARGUE  -  1 ocorrências
ARGUMENT  -  2 ocorrências
ARGUMENTS  -  7 ocorrências
ARIGHT  -  1 ocorrências
ARIOSTO  -  1 ocorrências
ARISE  -  6 ocorrências
ARISEN  -  1 ocorrências
ARISING  -  1 ocorrências
ARM  -  6 ocorrências
ARMADA  -  1 ocorrências
ARMED  -  1 ocorrências
ARMS  -  9 ocorrências
AROSE  -  9 ocorrências
AROUND  -  34 ocorrências
AROUSED  -  1 ocorrências
ARRANGE  -  2 ocorrências
ARRANGED  -  4 ocorrências
ARRANGEMENTS  -  1 ocorrências
ARRANGING  -  6 ocorrências
ARRAY  -  1 ocorrências
ARREST  -  1 ocorrências
ARRESTED  -  1 ocorrências
ARRIVAL  -  8 ocorrências
ARRIVE  -  12 ocorrências
ARRIVED  -  29 ocorrências
ARRIVES  -  1 ocorrências
ARRIVING  -  1 ocorrências
ARROW  -  1 ocorrências
ARROWY  -  1 ocorrências
ART  -  7 ocorrências
ARTERIES  -  1 ocorrências
ARTERY  -  1 ocorrências
ARTHUR  -  2 ocorrências
ARTICLE  -  1 ocorrências
ARTICLES  -  1 ocorrências
ARTICULATE  -  2 ocorrências
ARTIFICE  -  1 ocorrências
ARTIST  -  1 ocorrências
ARTS  -  2 ocorrências
ARVE  -  3 ocorrências
ARVEIRON  -  1 ocorrências
AS  -  539 ocorrências
ASCEND  -  5 ocorrências
ASCENDED  -  4 ocorrências
ASCENT  -  3 ocorrências
ASCERTAIN  -  1 ocorrências
ASCERTAINING  -  1 ocorrências
ASCII  -  2 ocorrências
ASCRIBED  -  2 ocorrências
ASHAMED  -  1 ocorrências
ASHES  -  2 ocorrências
ASIA  -  2 ocorrências
ASIATICS  -  1 ocorrências
ASIDE  -  4 ocorrências
ASK  -  10 ocorrências
ASKED  -  16 ocorrências
ASKS  -  1 ocorrências
ASLEEP  -  2 ocorrências
ASPECT  -  7 ocorrências
ASPIRATIONS  -  1 ocorrências
ASPIRE  -  1 ocorrências
ASPIRED  -  1 ocorrências
ASPIRES  -  1 ocorrências
ASS  -  2 ocorrências
ASSAILED  -  1 ocorrências
ASSASSIN  -  2 ocorrências
ASSASSINATED  -  1 ocorrências
ASSEMBLAGE  -  2 ocorrências
ASSEMBLAGES  -  1 ocorrências
ASSEMBLANCE  -  1 ocorrências
ASSEMBLED  -  1 ocorrências
ASSERTED  -  1 ocorrências
ASSERTION  -  2 ocorrências
ASSEVERATIONS  -  1 ocorrências
ASSIGNED  -  1 ocorrências
ASSIST  -  6 ocorrências
ASSISTANCE  -  4 ocorrências
ASSISTANTS  -  1 ocorrências
ASSISTED  -  3 ocorrências
ASSISTING  -  1 ocorrências
ASSIZES  -  1 ocorrências
ASSOCIATE  -  2 ocorrências
ASSOCIATED  -  11 ocorrências
ASSOCIATES  -  1 ocorrências
ASSOCIATION  -  1 ocorrências
ASSUAGE  -  1 ocorrências
ASSUME  -  1 ocorrências
ASSUMED  -  5 ocorrências
ASSURANCE  -  1 ocorrências
ASSURANCES  -  1 ocorrências
ASSURE  -  5 ocorrências
ASSURED  -  11 ocorrências
ASSUREDLY  -  4 ocorrências
ASSURES  -  1 ocorrências
ASTONISHED  -  3 ocorrências
ASTONISHING  -  8 ocorrências
ASTONISHMENT  -  6 ocorrências
ASTOUNDED  -  1 ocorrências
ASTOUNDING  -  1 ocorrências
ASYLUM  -  4 ocorrências
AT  -  332 ocorrências
ATE  -  4 ocorrências
ATLANTIC  -  1 ocorrências
ATMOSPHERE  -  3 ocorrências
ATONE  -  1 ocorrências
ATROCIOUS  -  1 ocorrências
ATTACH  -  1 ocorrências
ATTACHED  -  7 ocorrências
ATTACHMENT  -  5 ocorrências
ATTACK  -  1 ocorrências
ATTACKED  -  2 ocorrências
ATTACKS  -  1 ocorrências
ATTAIN  -  1 ocorrências
ATTAINED  -  1 ocorrências
ATTAINMENT  -  1 ocorrências
ATTEMPT  -  10 ocorrências
ATTEMPTED  -  9 ocorrências
ATTEMPTS  -  3 ocorrências
ATTEND  -  6 ocorrências
ATTENDANCE  -  1 ocorrências
ATTENDANT  -  3 ocorrências
ATTENDANTS  -  2 ocorrências
ATTENDED  -  9 ocorrências
ATTENDING  -  4 ocorrências
ATTENDS  -  1 ocorrências
ATTENTION  -  22 ocorrências
ATTENTIONS  -  4 ocorrências
ATTENTIVE  -  2 ocorrências
ATTENTIVELY  -  3 ocorrências
ATTEST  -  1 ocorrências
ATTITUDE  -  2 ocorrências
ATTRACT  -  1 ocorrências
ATTRACTED  -  6 ocorrências
ATTRACTIONS  -  1 ocorrências
ATTRACTIVE  -  2 ocorrências
ATTRACTS  -  1 ocorrências
ATTRIBUTED  -  4 ocorrências
AUDIBLE  -  2 ocorrências
AUDIBLY  -  1 ocorrências
AUDITOR  -  1 ocorrências
AUGHT  -  2 ocorrências
AUGMENTED  -  4 ocorrências
AUGMENTING  -  1 ocorrências
AUGURIES  -  1 ocorrências
AUGURY  -  1 ocorrências
AUGUST  -  6 ocorrências
AUNT  -  9 ocorrências
AUSTRIA  -  1 ocorrências
AUSTRIAN  -  1 ocorrências
AUTHOR  -  6 ocorrências
AUTHORITY  -  1 ocorrências
AUTHORS  -  5 ocorrências
AUTUMN  -  5 ocorrências
AVAIL  -  3 ocorrências
AVAILABLE  -  2 ocorrências
AVAILED  -  1 ocorrências
AVALANCHE  -  5 ocorrências
AVENGE  -  1 ocorrências
AVENUE  -  1 ocorrências
AVERRED  -  1 ocorrências
AVERSE  -  2 ocorrências
AVERSION  -  1 ocorrências
AVERT  -  2 ocorrências
AVIDITY  -  1 ocorrências
AVOID  -  6 ocorrências
AVOIDED  -  3 ocorrências
AVOW  -  1 ocorrências
AVOWAL  -  1 ocorrências
AVOWED  -  1 ocorrências
AWAIT  -  2 ocorrências
AWAITING  -  1 ocorrências
AWAKE  -  4 ocorrências
AWAKEN  -  2 ocorrências
AWAKENED  -  3 ocorrências
AWAKING  -  1 ocorrências
AWARD  -  1 ocorrências
AWARE  -  1 ocorrências
AWAY  -  53 ocorrências
AWE  -  2 ocorrências
AWFUL  -  3 ocorrências
AWOKE  -  15 ocorrências
AY  -  4 ocorrências
B  -  3 ocorrências
BABE  -  1 ocorrências
BABES  -  1 ocorrências
BACK  -  15 ocorrências
BACKS  -  1 ocorrências
BAD  -  1 ocorrências
BADE  -  4 ocorrências
BAFFLED  -  2 ocorrências
BALANCED  -  2 ocorrências
BALANCING  -  1 ocorrências
BALL  -  1 ocorrências
BALLOTS  -  1 ocorrências
BALMINESS  -  1 ocorrências
BALMY  -  1 ocorrências
BAN  -  1 ocorrências
BANISH  -  3 ocorrências
BANISHED  -  5 ocorrências
BANKER  -  1 ocorrências
BANKS  -  8 ocorrências
BARBARITY  -  2 ocorrências
BARBAROUS  -  3 ocorrências
BARBAROUSLY  -  1 ocorrências
BARE  -  7 ocorrências
BARED  -  1 ocorrências
BARKS  -  1 ocorrências
BARN  -  2 ocorrências
BARRED  -  4 ocorrências
BARREN  -  3 ocorrências
BARRICADE  -  1 ocorrências
BARRIER  -  4 ocorrências
BARRIERS  -  1 ocorrências
BASE  -  6 ocorrências
BASED  -  2 ocorrências
BASEST  -  1 ocorrências
BASKET  -  3 ocorrências
BAT  -  1 ocorrências
BATHED  -  1 ocorrências
BATHS  -  1 ocorrências
BAUBLE  -  1 ocorrências
BE  -  379 ocorrências
BEACH  -  5 ocorrências
BEAM  -  1 ocorrências
BEAMING  -  2 ocorrências
BEAR  -  6 ocorrências
BEARING  -  3 ocorrências
BEARS  -  2 ocorrências
BEAST  -  3 ocorrências
BEASTS  -  1 ocorrências
BEAT  -  5 ocorrências
BEATEN  -  2 ocorrências
BEAUFORT  -  7 ocorrências
BEAUTIES  -  3 ocorrências
BEAUTIFUL  -  28 ocorrências
BEAUTY  -  27 ocorrências
BECAME  -  61 ocorrências
BECAUSE  -  18 ocorrências
BECOME  -  33 ocorrências
BECOMES  -  2 ocorrências
BECOMING  -  4 ocorrências
BED  -  15 ocorrências
BEDEWED  -  1 ocorrências
BEDIM  -  1 ocorrências
BEDROOM  -  1 ocorrências
BEDS  -  1 ocorrências
BEDSIDE  -  1 ocorrências
BEEN  -  190 ocorrências
BEFALL  -  1 ocorrências
BEFALLEN  -  3 ocorrências
BEFITTING  -  4 ocorrências
BEFORE  -  148 ocorrências
BEG  -  2 ocorrências
BEGAN  -  28 ocorrências
BEGGAR  -  2 ocorrências
BEGGARS  -  1 ocorrências
BEGGED  -  1 ocorrências
BEGIN  -  6 ocorrências
BEGINNING  -  9 ocorrências
BEGINS  -  1 ocorrências
BEGONE  -  7 ocorrências
BEGUN  -  2 ocorrências
BEHALF  -  1 ocorrências
BEHAVIOUR  -  2 ocorrências
BEHELD  -  31 ocorrências
BEHIND  -  11 ocorrências
BEHOLD  -  13 ocorrências
BEHOLDING  -  3 ocorrências
BEING  -  97 ocorrências
BEINGS  -  22 ocorrências
BELIEF  -  3 ocorrências
BELIEVE  -  33 ocorrências
BELIEVED  -  13 ocorrências
BELIEVES  -  4 ocorrências
BELIEVING  -  2 ocorrências
BELONG  -  1 ocorrências
BELONGED  -  4 ocorrências
BELONGING  -  4 ocorrências
BELONGS  -  1 ocorrências
BELOVED  -  26 ocorrências
BELOW  -  6 ocorrências
BELRIVE  -  4 ocorrências
BEND  -  3 ocorrências
BENDING  -  1 ocorrências
BENEATH  -  11 ocorrências
BENEFACTOR  -  3 ocorrências
BENEFACTORS  -  2 ocorrências
BENEFICENCE  -  1 ocorrências
BENEFICIAL  -  2 ocorrências
BENEFIT  -  7 ocorrências
BENEFITS  -  1 ocorrências
BENEVOLENCE  -  7 ocorrências
BENEVOLENT  -  14 ocorrências
BENEVOLENTLY  -  1 ocorrências
BENIGNITY  -  2 ocorrências
BENT  -  9 ocorrências
BENUMBED  -  1 ocorrências
BERNARD  -  1 ocorrências
BERRIES  -  6 ocorrências
BESIDE  -  7 ocorrências
BESIDES  -  13 ocorrências
BESIEGED  -  1 ocorrências
BESOUGHT  -  1 ocorrências
BESPOKE  -  1 ocorrências
BEST  -  12 ocorrências
BESTOW  -  14 ocorrências
BESTOWED  -  13 ocorrências
BESTOWING  -  3 ocorrências
BETOOK  -  1 ocorrências
BETRAY  -  2 ocorrências
BETRAYED  -  2 ocorrências
BETTER  -  13 ocorrências
BETWEEN  -  20 ocorrências
BEWARE  -  2 ocorrências
BEWILDERED  -  4 ocorrências
BEYOND  -  8 ocorrências
BID  -  2 ocorrências
BIDDING  -  1 ocorrências
BIDS  -  1 ocorrências
BIER  -  1 ocorrências
BILL  -  1 ocorrências
BINARY  -  1 ocorrências
BIND  -  1 ocorrências
BINDING  -  1 ocorrências
BIRD  -  1 ocorrências
BIRDS  -  5 ocorrências
BIRON  -  1 ocorrências
BIRTH  -  8 ocorrências
BITTER  -  16 ocorrências
BITTEREST  -  3 ocorrências
BITTERLY  -  10 ocorrências
BITTERNESS  -  8 ocorrências
BLACK  -  17 ocorrências
BLACKBIRD  -  1 ocorrências
BLACKEST  -  1 ocorrências
BLACKNESS  -  1 ocorrências
BLAMABLE  -  1 ocorrências
BLAME  -  1 ocorrências
BLAMELESS  -  1 ocorrências
BLANC  -  8 ocorrências
BLANKETS  -  1 ocorrências
BLAST  -  5 ocorrências
BLASTED  -  8 ocorrências
BLEAK  -  4 ocorrências
BLEAKNESS  -  1 ocorrências
BLESS  -  6 ocorrências
BLESSED  -  6 ocorrências
BLESSING  -  4 ocorrências
BLESSINGS  -  2 ocorrências
BLEW  -  1 ocorrências
BLIGHT  -  2 ocorrências
BLIND  -  10 ocorrências
BLINDED  -  2 ocorrências
BLINDNESS  -  1 ocorrências
BLISS  -  3 ocorrências
BLOOD  -  19 ocorrências
BLOODLESS  -  1 ocorrências
BLOODSHED  -  1 ocorrências
BLOODY  -  1 ocorrências
BLOOM  -  3 ocorrências
BLOOMED  -  2 ocorrências
BLOOMING  -  4 ocorrências
BLOSSOM  -  1 ocorrências
BLOT  -  2 ocorrências
BLOTTED  -  1 ocorrências
BLOW  -  4 ocorrências
BLOWS  -  3 ocorrências
BLUE  -  11 ocorrências
BLUNT  -  2 ocorrências
BOARD  -  6 ocorrências
BOARDER  -  1 ocorrências
BOAST  -  3 ocorrências
BOAT  -  17 ocorrências
BOATS  -  2 ocorrências
BODIES  -  3 ocorrências
BODILY  -  4 ocorrências
BODY  -  23 ocorrências
BOILS  -  1 ocorrências
BOLD  -  2 ocorrências
BOLT  -  2 ocorrências
BOLTS  -  1 ocorrências
BONDAGE  -  1 ocorrências
BONDS  -  3 ocorrências
BONE  -  1 ocorrências
BONES  -  1 ocorrências
BOOK  -  6 ocorrências
BOOKS  -  12 ocorrências
BORE  -  7 ocorrências
BORN  -  4 ocorrências
BORNE  -  6 ocorrências
BOSOM  -  9 ocorrências
BOSOMS  -  1 ocorrências
BOSS  -  2 ocorrências
BOTH  -  10 ocorrências
BOTTOM  -  4 ocorrências
BOUGHT  -  3 ocorrências
BOUND  -  17 ocorrências
BOUNDARIES  -  2 ocorrências
BOUNDARY  -  5 ocorrências
BOUNDED  -  3 ocorrências
BOUNDING  -  2 ocorrências
BOUNDLESS  -  3 ocorrências
BOUNDS  -  6 ocorrências
BOUNTY  -  1 ocorrências
BOURNE  -  1 ocorrências
BOWING  -  1 ocorrências
BOY  -  7 ocorrências
BOYHOOD  -  2 ocorrências
BRACES  -  1 ocorrências
BRAIDED  -  1 ocorrências
BRAIN  -  1 ocorrências
BRAKE  -  1 ocorrências
BRAMBLES  -  1 ocorrências
BRANCH  -  4 ocorrências
BRANCHES  -  12 ocorrências
BRAND  -  1 ocorrências
BRANDY  -  1 ocorrências
BRAVE  -  3 ocorrências
BRAWLING  -  1 ocorrências
BREACH  -  2 ocorrências
BREAD  -  4 ocorrências
BREAK  -  4 ocorrências
BREAKERS  -  1 ocorrências
BREAKFAST  -  5 ocorrências
BREAKING  -  3 ocorrências
BREAST  -  3 ocorrências
BREATH  -  2 ocorrências
BREATHE  -  3 ocorrências
BREATHED  -  4 ocorrências
BREATHLESS  -  3 ocorrências
BRED  -  1 ocorrências
BREEZE  -  10 ocorrências
BREEZES  -  2 ocorrências
BRETHREN  -  1 ocorrências
BRIDAL  -  1 ocorrências
BRIDE  -  1 ocorrências
BRIDES  -  1 ocorrências
BRIDGE  -  1 ocorrências
BRIEFLY  -  2 ocorrências
BRIGHT  -  7 ocorrências
BRIGHTEST  -  1 ocorrências
BRIGHTLY  -  1 ocorrências
BRIGHTNESS  -  2 ocorrências
BRILLIANT  -  1 ocorrências
BRING  -  3 ocorrências
BRINGING  -  1 ocorrências
BRINK  -  3 ocorrências
BRITAIN  -  2 ocorrências
BROAD  -  2 ocorrências
BROKE  -  5 ocorrências
BROKEN  -  12 ocorrências
BROODED  -  2 ocorrências
BROODING  -  1 ocorrências
BROOK  -  2 ocorrências
BROTHER  -  24 ocorrências
BROTHERLY  -  1 ocorrências
BROTHERS  -  5 ocorrências
BROUGHT  -  28 ocorrências
BROW  -  1 ocorrências
BROWS  -  1 ocorrências
BRUISED  -  1 ocorrências
BRUTALITY  -  2 ocorrências
BRUTE  -  1 ocorrências
BUD  -  2 ocorrências
BUDDING  -  1 ocorrências
BUDS  -  1 ocorrências
